rally_uid,sex,match,numberGame,rally_id,strikeNumber,scoreSelf,scoreOther,serverGetPoint,gamePlayerId,gamePlayerOtherId,strikeId,handId,strengthId,spinId,pointId,actionId,positionId,prev_actionId,next_actionId,prev_pointId,next_pointId,prev_spinId,next_spinId,prev_positionId,next_positionId,prev_handId,next_handId,prev_strengthId,next_strengthId,prev_strikeId,next_strikeId,has_next,target_serverGetPoint,score_diff,score_total,lead_state,is_close_score,is_deuce_like,is_game_point_self,is_game_point_other,strike_parity,serve_receive_phase,stage_bucket,action_group,action_spin_combo,action_point_combo,hand_action_combo,action_bigram,spin_bigram,action_changed,point_changed,spin_changed,position_changed,hand_changed,prefix_attack_count,prefix_control_count,prefix_defense_count,prefix_serve_count,prefix_unique_action_count,same_action_run_len,same_action_run_bucket
936,1,20,4,3,6,2,0,1,26,32,4,2,0,0,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,2,2,1,0,0,0,0,0,rally,5_8_mid,Defense,13|0,13|0,2|13,1->13,1->0,1,1,1,0,1,4,0,1,1,5,1,1
937,1,20,4,4,3,1,2,0,32,26,4,1,0,0,0,0,0,4,,7,,1,,3,,2,,3,,2,,False,0,-1,3,-1,1,0,0,0,1,rally,3_4_early,Zero,0|0,0|0,1|0,4->0,1->0,1,1,1,1,1,1,0,0,1,3,1,1
938,1,20,4,5,6,1,3,1,32,26,4,1,2,1,0,1,0,1,,7,,1,,0,,2,,2,,4,,False,1,-2,4,-1,0,0,0,0,0,rally,5_8_mid,Attack,1|1,1|0,1|1,1->1,1->1,0,1,0,0,1,5,0,0,1,4,2,2
939,1,20,4,6,5,4,1,0,26,32,4,2,1,3,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,0,3,5,1,0,0,0,0,1,rally,5_8_mid,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,1,2,1,1,5,1,1
940,1,20,4,7,2,4,2,1,26,32,2,2,1,3,0,11,3,15,,5,,2,,3,,1,,1,,1,,False,1,2,6,1,0,0,0,0,0,receive,2_receive,Control,11|3,11|0,2|11,15->11,2->3,1,1,1,0,1,0,1,0,1,2,1,1
941,1,20,4,8,3,3,4,0,32,26,4,2,2,1,0,5,0,4,,9,,1,,3,,2,,2,,2,,False,0,-1,7,-1,1,0,0,0,1,rally,3_4_early,Attack,5|1,5|0,2|5,4->5,1->1,1,1,0,1,0,2,0,0,1,3,1,1
942,1,20,4,9,8,3,5,1,32,26,4,1,2,1,0,2,0,1,,7,,1,,0,,2,,3,,4,,False,1,-2,8,-1,0,0,0,0,0,rally,5_8_mid,Attack,2|1,2|0,1|2,1->2,1->1,1,1,0,0,1,6,0,1,1,6,1,1
943,1,20,4,10,6,3,6,1,32,26,4,1,3,1,0,1,0,13,,8,,1,,0,,1,,2,,4,,False,1,-3,9,-1,0,0,0,0,0,rally,5_8_mid,Attack,1|1,1|0,1|1,13->1,1->1,1,1,0,0,0,3,0,2,1,4,1,1
945,1,20,4,12,4,8,3,1,26,32,4,2,2,1,0,2,0,7,,8,,1,,0,,1,,2,,4,,False,1,5,11,1,0,0,0,0,0,rally,3_4_early,Attack,2|1,2|0,2|2,7->2,1->1,1,1,0,0,1,2,1,0,1,4,1,1
946,1,20,4,13,3,8,4,0,26,32,4,1,2,1,0,1,0,4,,7,,1,,3,,2,,2,,2,,False,0,4,12,1,0,0,0,0,1,rally,3_4_early,Attack,1|1,1|0,1|1,4->1,1->1,1,1,0,1,1,2,0,0,1,3,1,1
947,1,20,4,14,4,5,8,1,32,26,4,2,1,3,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,-3,13,-1,0,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,1->13,1->3,1,1,1,0,1,2,0,1,1,4,1,1
948,1,20,4,15,6,9,5,1,26,32,4,2,2,1,0,1,0,13,,9,,1,,0,,2,,2,,4,,False,1,4,14,1,0,0,0,0,0,rally,5_8_mid,Attack,1|1,1|0,2|1,13->1,1->1,1,1,0,0,0,4,0,1,1,5,1,1
949,1,20,4,16,4,9,6,1,26,32,4,1,0,0,0,1,0,4,,8,,1,,0,,2,,2,,4,,False,1,3,15,1,0,0,0,0,0,rally,3_4_early,Attack,1|0,1|0,1|1,4->1,1->0,1,1,1,0,1,2,1,0,1,4,1,1
950,1,20,4,17,4,7,9,1,32,26,4,2,0,0,0,13,0,1,,9,,1,,0,,1,,3,,4,,False,1,-2,16,-1,0,0,0,0,0,rally,3_4_early,Defense,13|0,13|0,2|13,1->13,1->0,1,1,1,0,1,2,0,1,1,4,1,1
951,1,20,4,18,2,7,10,1,32,26,2,2,1,1,0,4,3,15,,5,,5,,3,,1,,1,,1,,False,1,-3,17,-1,0,0,0,1,0,receive,2_receive,Attack,4|1,4|0,2|4,15->4,5->1,1,1,1,0,1,1,0,0,1,2,1,1
952,2,22,1,1,8,0,0,1,2,34,4,1,2,3,0,3,0,10,,4,,2,,0,,2,,1,,4,,False,1,0,0,0,1,0,0,0,0,rally,5_8_mid,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,1,5,1,1,4,1,1
953,2,22,1,2,6,0,1,1,2,34,4,1,3,3,0,3,0,10,,8,,2,,0,,2,,1,,4,,False,1,-1,1,-1,1,0,0,0,0,rally,5_8_mid,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,1,3,1,1,4,1,1
954,2,22,1,3,11,0,2,0,2,34,4,1,2,3,0,5,0,3,,7,,3,,0,,1,,3,,4,,False,0,-2,2,-1,0,0,0,0,1,rally,9plus_late,Attack,5|3,5|0,1|5,3->5,3->3,1,1,0,0,0,5,4,1,1,6,1,1
955,2,22,1,4,10,3,0,1,34,2,4,1,0,0,0,5,0,3,,4,,3,,0,,1,,2,,4,,False,1,3,3,1,0,0,0,0,0,rally,9plus_late,Attack,5|0,5|0,1|5,3->5,3->0,1,1,1,0,0,5,4,0,1,5,1,1
956,2,22,1,5,16,1,3,1,2,34,4,1,3,3,0,3,0,1,,7,,1,,0,,1,,3,,4,,False,1,-2,4,-1,0,0,0,0,0,rally,9plus_late,Attack,3|3,3|0,1|3,1->3,1->3,1,1,1,0,0,3,10,2,1,6,1,1
957,2,22,1,6,10,1,4,1,2,34,4,1,3,3,0,3,0,10,,9,,2,,0,,1,,1,,4,,False,1,-3,5,-1,0,0,0,0,0,rally,9plus_late,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,0,4,5,0,1,5,1,1
958,2,22,1,7,2,5,1,1,34,2,2,1,0,0,0,1,1,15,,4,,3,,1,,2,,1,,1,,False,1,4,6,1,0,0,0,0,0,receive,2_receive,Attack,1|0,1|0,1|1,15->1,3->0,1,1,1,0,1,1,0,0,1,2,1,1
959,2,22,1,8,15,2,5,0,2,34,4,1,2,2,0,10,0,10,,5,,2,,0,,2,,2,,4,,False,0,-3,7,-1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,14,0,1,2,14,4plus
960,2,22,1,9,14,2,6,1,2,34,4,2,1,3,0,13,0,3,,9,,3,,0,,1,,3,,4,,False,1,-4,8,-1,0,0,0,0,0,rally,9plus_late,Defense,13|3,13|0,2|13,3->13,3->3,1,1,0,0,1,1,11,1,1,4,1,1
961,2,22,1,10,5,7,2,0,34,2,4,1,2,1,0,1,0,12,,4,,2,,0,,1,,2,,4,,False,0,5,9,1,0,0,0,0,1,rally,5_8_mid,Attack,1|1,1|0,1|1,12->1,2->1,1,1,1,0,0,1,1,2,1,4,1,1
962,2,22,1,11,6,7,3,1,34,2,4,2,2,3,0,5,0,3,,9,,3,,0,,1,,3,,4,,False,1,4,10,1,0,0,0,0,0,rally,5_8_mid,Attack,5|3,5|0,2|5,3->5,3->3,1,1,0,0,1,2,3,0,1,4,1,1
963,2,22,1,12,7,4,7,0,2,34,4,1,1,2,0,12,0,1,,7,,1,,0,,1,,3,,4,,False,0,-3,11,-1,0,0,0,0,1,rally,5_8_mid,Defense,12|2,12|0,1|12,1->12,1->2,1,1,1,0,0,1,4,1,1,4,1,1
964,2,22,1,13,6,4,8,1,2,34,4,2,2,1,0,8,0,10,,6,,2,,0,,2,,1,,4,,False,1,-4,12,-1,0,0,0,0,0,rally,5_8_mid,Control,8|1,8|0,2|8,10->8,2->1,1,1,1,0,0,0,5,0,1,3,1,1
965,2,22,1,14,8,4,9,1,2,34,4,1,1,3,0,13,0,3,,7,,3,,0,,1,,3,,4,,False,1,-5,13,-1,0,0,0,0,0,rally,5_8_mid,Defense,13|3,13|0,1|13,3->13,3->3,1,1,0,0,0,2,2,3,1,6,1,1
966,2,22,1,15,3,4,10,0,2,34,4,2,2,4,0,8,0,10,,6,,2,,1,,1,,1,,2,,False,0,-6,14,-1,0,0,0,1,1,rally,3_4_early,Control,8|4,8|0,2|8,10->8,2->4,1,1,1,1,1,0,2,0,1,3,1,1
967,2,22,2,1,3,0,0,0,2,34,4,2,1,2,0,12,0,6,,8,,3,,1,,2,,2,,2,,False,0,0,0,0,1,0,0,0,1,rally,3_4_early,Defense,12|2,12|0,2|12,6->12,3->2,1,1,1,1,0,1,0,1,1,3,1,1
968,2,22,2,2,4,1,0,1,34,2,4,2,2,3,0,13,0,3,,9,,3,,0,,1,,3,,4,,False,1,1,1,1,1,0,0,0,0,rally,3_4_early,Defense,13|3,13|0,2|13,3->13,3->3,1,1,0,0,1,2,0,1,1,4,1,1
969,2,22,2,3,7,1,1,0,34,2,4,1,3,3,0,3,0,10,,6,,2,,0,,2,,1,,4,,False,0,0,2,0,1,0,0,0,1,rally,5_8_mid,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,1,5,0,1,3,1,1
970,2,22,2,4,4,2,1,1,2,34,4,1,1,2,0,13,0,1,,7,,1,,0,,1,,3,,4,,False,1,1,3,1,1,0,0,0,0,rally,3_4_early,Defense,13|2,13|0,1|13,1->13,1->2,1,1,1,0,0,1,0,2,1,4,1,1
971,2,22,2,5,5,2,2,0,2,34,4,2,0,0,0,13,0,3,,9,,3,,0,,1,,3,,4,,False,0,0,4,0,1,0,0,0,1,rally,5_8_mid,Defense,13|0,13|0,2|13,3->13,3->0,1,1,1,0,1,2,0,2,1,5,1,1
972,2,22,2,6,4,3,2,1,34,2,4,1,3,3,0,3,0,3,,7,,3,,0,,1,,2,,4,,False,1,1,5,1,1,0,0,0,0,rally,3_4_early,Attack,3|3,3|0,1|3,3->3,3->3,0,1,0,0,0,3,0,0,1,3,2,2
973,2,22,2,7,16,3,3,1,2,34,4,2,1,2,0,13,0,3,,9,,3,,0,,1,,3,,4,,False,1,0,6,0,1,0,0,0,0,rally,9plus_late,Defense,13|2,13|0,2|13,3->13,3->2,1,1,1,0,1,6,6,3,1,7,1,1
974,2,22,2,8,5,4,3,0,34,2,4,0,0,0,0,0,0,5,,7,,3,,0,,1,,2,,4,,False,0,1,7,1,1,0,0,0,1,rally,5_8_mid,Zero,0|0,0|0,0|0,5->0,3->0,1,1,1,0,1,2,0,1,1,5,1,1
975,2,22,2,9,3,4,4,0,2,34,4,2,2,2,0,12,0,1,,9,,1,,1,,2,,2,,2,,False,0,0,8,0,1,0,0,0,1,rally,3_4_early,Defense,12|2,12|0,2|12,1->12,1->2,1,1,1,1,0,1,0,1,1,3,1,1
976,2,22,2,10,14,5,4,1,34,2,4,1,2,3,0,5,0,10,,7,,3,,0,,2,,2,,4,,False,1,1,9,1,1,0,0,0,0,rally,9plus_late,Attack,5|3,5|0,1|5,10->5,3->3,1,1,0,0,1,2,10,1,1,5,1,1
977,2,22,2,11,9,5,5,0,34,2,4,1,0,0,0,13,0,3,,7,,3,,0,,1,,3,,4,,False,0,0,10,0,1,0,0,0,1,rally,9plus_late,Defense,13|0,13|0,1|13,3->13,3->0,1,1,1,0,0,1,5,2,1,5,1,1
978,2,22,2,12,11,5,6,0,34,2,4,1,3,3,0,3,0,10,,6,,2,,0,,2,,1,,4,,False,0,-1,11,-1,1,0,0,0,1,rally,9plus_late,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,1,8,1,1,5,1,1
979,2,22,2,13,10,5,7,1,34,2,4,1,2,3,0,7,0,12,,5,,2,,0,,2,,1,,4,,False,1,-2,12,-1,0,0,0,0,0,rally,9plus_late,Attack,7|3,7|0,1|7,12->7,2->3,1,1,1,0,1,5,1,3,1,9,1,1
980,2,22,2,14,19,8,5,0,2,34,4,2,2,2,0,10,0,10,,6,,2,,0,,2,,1,,4,,False,0,3,13,1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,18,0,1,2,18,4plus
981,2,22,2,15,3,6,8,0,34,2,4,1,1,2,0,10,0,10,,4,,5,,3,,2,,1,,2,,False,0,-2,14,-1,0,0,0,0,1,rally,3_4_early,Control,10|2,10|0,1|10,10->10,5->2,0,1,1,1,1,0,2,0,1,2,2,2
982,2,22,2,16,19,6,9,0,34,2,4,1,2,2,0,10,0,10,,4,,2,,0,,2,,1,,4,,False,0,-3,15,-1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,17,1,1,3,17,4plus
983,2,22,2,17,6,6,10,1,34,2,4,2,2,2,0,10,0,9,,9,,2,,0,,2,,2,,4,,False,1,-4,16,-1,0,0,0,1,0,rally,5_8_mid,Control,10|2,10|0,2|10,9->10,2->2,1,1,0,0,0,3,2,0,1,6,1,1
984,2,22,3,1,5,0,0,0,34,2,4,1,3,3,0,3,0,5,,5,,3,,0,,1,,2,,4,,False,0,0,0,0,1,0,0,0,1,rally,5_8_mid,Attack,3|3,3|0,1|3,5->3,3->3,1,1,0,0,0,3,0,1,1,5,1,1
985,2,22,3,2,6,1,0,1,2,34,4,1,2,2,0,12,0,1,,7,,1,,0,,1,,3,,4,,False,1,1,1,1,1,0,0,0,0,rally,5_8_mid,Defense,12|2,12|0,1|12,1->12,1->2,1,1,1,0,0,1,3,1,1,4,1,1
986,2,22,3,3,24,1,1,1,34,2,4,2,1,2,0,13,0,3,,6,,3,,0,,1,,1,,4,,False,1,0,2,0,1,0,0,0,0,rally,9plus_late,Defense,13|2,13|0,2|13,3->13,3->2,1,1,1,0,1,6,15,2,1,9,1,1
987,2,22,3,4,5,2,1,0,2,34,4,1,2,2,0,10,0,10,,5,,2,,0,,2,,2,,4,,False,0,1,3,1,1,0,0,0,1,rally,5_8_mid,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,1,0,4,0,1,2,4,4plus
988,2,22,3,5,6,2,2,1,2,34,4,1,1,3,0,12,0,1,,7,,1,,0,,1,,2,,4,,False,1,0,4,0,1,0,0,0,0,rally,5_8_mid,Defense,12|3,12|0,1|12,1->12,1->3,1,1,1,0,0,1,3,1,1,4,1,1
989,2,22,3,6,38,2,3,1,2,34,4,1,1,3,0,13,0,2,,8,,1,,0,,1,,3,,4,,False,1,-1,5,-1,1,0,0,0,0,rally,9plus_late,Defense,13|3,13|0,1|13,2->13,1->3,1,1,1,0,0,2,32,3,1,6,1,1
990,2,22,3,7,33,2,4,0,2,34,4,2,1,2,0,10,0,10,,6,,2,,0,,2,,2,,4,,False,0,-2,6,-1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,32,0,1,2,32,4plus
991,2,22,3,8,5,2,5,0,2,34,4,1,3,3,0,3,0,13,,8,,3,,0,,2,,1,,4,,False,0,-3,7,-1,0,0,0,0,1,rally,5_8_mid,Attack,3|3,3|0,1|3,13->3,3->3,1,1,0,0,1,3,0,1,1,4,1,1
992,2,22,3,9,15,6,2,0,34,2,4,1,2,1,0,1,0,10,,4,,2,,0,,2,,1,,4,,False,0,4,8,1,0,0,0,0,1,rally,9plus_late,Attack,1|1,1|0,1|1,10->1,2->1,1,1,1,0,1,1,12,1,1,4,1,1
993,2,22,3,10,3,6,3,0,34,2,4,1,3,3,0,3,0,10,,6,,2,,1,,2,,1,,2,,False,0,3,9,1,0,0,0,0,1,rally,3_4_early,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,1,1,1,1,0,1,3,1,1
994,2,22,3,11,2,6,4,1,34,2,2,2,2,2,0,10,1,15,,8,,5,,1,,1,,3,,1,,False,1,2,10,1,0,0,0,0,0,receive,2_receive,Control,10|2,10|0,2|10,15->10,5->2,1,1,1,0,1,0,1,0,1,2,1,1
995,2,22,3,12,42,6,5,1,34,2,4,1,1,3,0,5,0,3,,8,,3,,0,,1,,3,,4,,False,1,1,11,1,1,0,0,0,0,rally,9plus_late,Attack,5|3,5|0,1|5,3->5,3->3,1,1,0,0,0,2,39,0,1,4,1,1
996,2,22,3,13,32,6,6,1,2,34,4,1,2,3,0,3,0,5,,8,,1,,0,,2,,2,,4,,False,1,0,12,0,1,0,0,0,0,rally,9plus_late,Attack,3|3,3|0,1|3,5->3,1->3,1,1,1,0,1,4,26,1,1,6,1,1
997,2,22,3,14,39,7,6,0,34,2,4,2,0,0,0,0,0,5,,9,,3,,0,,1,,2,,4,,False,0,1,13,1,1,0,0,0,1,rally,9plus_late,Zero,0|0,0|0,2|0,5->0,3->0,1,1,1,0,1,3,33,1,1,7,1,1
998,2,22,3,15,12,7,7,1,34,2,4,1,3,3,0,3,0,10,,8,,2,,0,,1,,1,,4,,False,1,0,14,0,1,0,0,0,0,rally,9plus_late,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,0,2,9,0,1,4,1,1
999,2,22,3,16,2,7,8,1,34,2,2,2,2,3,0,6,1,15,,3,,3,,1,,2,,1,,1,,False,1,-1,15,-1,1,0,0,0,0,receive,2_receive,Attack,6|3,6|0,2|6,15->6,3->3,1,1,0,0,0,1,0,0,1,2,1,1
1000,2,22,3,17,27,7,9,0,34,2,4,1,1,3,0,13,0,13,,8,,3,,0,,1,,2,,4,,False,0,-2,16,-1,0,0,0,0,1,rally,9plus_late,Defense,13|3,13|0,1|13,13->13,3->3,0,1,0,0,0,1,22,3,1,5,2,2
1001,2,22,3,18,17,7,10,0,34,2,4,1,3,3,0,3,0,12,,4,,2,,0,,1,,1,,4,,False,0,-3,17,-1,0,0,0,1,1,rally,9plus_late,Attack,3|3,3|0,1|3,12->3,2->3,1,1,1,0,0,2,13,1,1,5,1,1
1002,2,22,4,1,18,0,0,1,34,2,4,1,1,2,0,10,0,10,,4,,2,,0,,1,,2,,4,,False,1,0,0,0,1,0,0,0,0,rally,9plus_late,Control,10|2,10|0,1|10,10->10,2->2,0,1,0,0,0,1,15,1,1,4,15,4plus
1003,2,22,4,2,2,0,1,1,34,2,2,2,2,2,0,6,1,15,,9,,2,,1,,2,,2,,1,,False,1,-1,1,-1,1,0,0,0,0,receive,2_receive,Attack,6|2,6|0,2|6,15->6,2->2,1,1,0,0,0,1,0,0,1,2,1,1
1004,2,22,4,3,9,0,2,0,34,2,4,1,3,3,0,3,0,12,,7,,2,,0,,1,,1,,4,,False,0,-2,2,-1,0,0,0,0,1,rally,9plus_late,Attack,3|3,3|0,1|3,12->3,2->3,1,1,1,0,0,3,3,2,1,5,1,1
1005,2,22,4,4,9,0,3,0,34,2,4,2,2,2,0,10,0,10,,6,,2,,0,,1,,2,,4,,False,0,-3,3,-1,0,0,0,0,1,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,1,0,8,0,1,2,8,4plus
1006,2,22,4,5,5,4,0,0,2,34,4,1,0,0,0,13,0,3,,7,,3,,0,,1,,3,,4,,False,0,4,4,1,0,0,0,0,1,rally,5_8_mid,Defense,13|0,13|0,1|13,3->13,3->0,1,1,1,0,0,2,0,2,1,5,1,1
1007,2,22,4,6,35,4,1,0,2,34,4,1,2,3,0,5,0,5,,4,,3,,0,,1,,2,,4,,False,0,3,5,1,0,0,0,0,1,rally,9plus_late,Attack,5|3,5|0,1|5,5->5,3->3,0,1,0,0,0,3,31,0,1,4,2,2
1008,2,22,4,7,33,2,4,0,34,2,4,1,2,1,0,1,0,10,,9,,2,,0,,2,,1,,4,,False,0,-2,6,-1,0,0,0,0,1,rally,9plus_late,Attack,1|1,1|0,1|1,10->1,2->1,1,1,1,0,1,1,31,0,1,3,1,1
1009,2,22,4,8,8,5,2,1,2,34,4,1,2,2,0,12,0,1,,4,,1,,0,,1,,2,,4,,False,1,3,7,1,0,0,0,0,0,rally,5_8_mid,Defense,12|2,12|0,1|12,1->12,1->2,1,1,1,0,0,1,4,2,1,4,1,1
1010,2,22,4,9,42,3,5,1,34,2,4,2,2,2,0,10,0,10,,9,,2,,0,,1,,3,,4,,False,1,-2,8,-1,0,0,0,0,0,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,1,0,41,0,1,2,41,4plus
1011,2,22,4,10,9,6,3,0,2,34,4,2,3,2,0,12,0,3,,9,,3,,0,,1,,3,,4,,False,0,3,9,1,0,0,0,0,1,rally,9plus_late,Defense,12|2,12|0,2|12,3->12,3->2,1,1,1,0,1,2,4,2,1,5,1,1
1012,2,22,4,11,29,4,6,0,34,2,4,1,1,3,0,13,0,3,,7,,3,,0,,1,,2,,4,,False,0,-2,10,-1,0,0,0,0,1,rally,9plus_late,Defense,13|3,13|0,1|13,3->13,3->3,1,1,0,0,0,3,23,2,1,6,1,1
1013,2,22,4,12,8,7,4,1,2,34,4,2,2,2,0,12,0,3,,9,,3,,0,,1,,3,,4,,False,1,3,11,1,0,0,0,0,0,rally,5_8_mid,Defense,12|2,12|0,2|12,3->12,3->2,1,1,1,0,1,3,2,2,1,6,1,1
1014,2,22,4,13,8,5,7,1,34,2,4,1,2,2,0,11,0,12,,8,,2,,0,,2,,3,,4,,False,1,-2,12,-1,0,0,0,0,0,rally,5_8_mid,Control,11|2,11|0,1|11,12->11,2->2,1,1,0,0,1,2,3,2,1,6,1,1
1015,2,22,4,14,14,5,8,1,34,2,4,1,3,3,0,3,0,10,,6,,2,,0,,2,,1,,4,,False,1,-3,13,-1,0,0,0,0,0,rally,9plus_late,Attack,3|3,3|0,1|3,10->3,2->3,1,1,1,0,1,1,12,0,1,3,1,1
1016,2,22,4,15,31,5,9,0,34,2,4,2,2,3,0,5,0,3,,9,,3,,0,,1,,3,,4,,False,0,-4,14,-1,0,0,0,0,1,rally,9plus_late,Attack,5|3,5|0,2|5,3->5,3->3,1,1,0,0,1,2,27,1,1,5,1,1
1017,2,22,4,16,4,10,5,1,2,34,4,2,1,2,0,10,0,10,,6,,2,,0,,2,,2,,4,,False,1,5,15,1,0,0,1,0,0,rally,3_4_early,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,3,0,1,2,3,3
1018,2,22,4,17,5,10,6,0,2,34,4,1,2,3,0,3,0,6,,8,,3,,0,,2,,2,,4,,False,0,4,16,1,0,0,1,0,1,rally,5_8_mid,Attack,3|3,3|0,1|3,6->3,3->3,1,1,0,0,1,4,0,0,1,3,1,1
1019,2,22,4,18,29,10,7,0,2,34,4,2,1,2,0,10,0,10,,6,,2,,0,,2,,2,,4,,False,0,3,17,1,0,0,1,0,1,rally,9plus_late,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,3,24,1,1,7,23,4plus
1020,2,22,4,19,35,8,10,0,34,2,4,2,2,3,0,5,0,3,,9,,3,,0,,1,,2,,4,,False,0,-2,18,-1,0,0,0,1,1,rally,9plus_late,Attack,5|3,5|0,2|5,3->5,3->3,1,1,0,0,1,2,31,1,1,5,1,1
1021,2,26,1,1,6,0,0,1,39,40,4,0,0,0,0,0,0,5,,5,,1,,0,,1,,3,,4,,False,1,0,0,0,1,0,0,0,0,rally,5_8_mid,Zero,0|0,0|0,0|0,5->0,1->0,1,1,1,0,1,2,1,1,0,4,1,1
1022,2,26,1,2,2,0,1,1,39,40,2,2,2,1,0,1,0,0,,5,,4,,0,,1,,2,,1,,False,1,-1,1,-1,1,0,0,0,0,receive,2_receive,Attack,1|1,1|0,2|1,0->1,4->1,1,1,1,0,1,1,0,0,0,2,1,1
1023,2,26,1,3,4,2,0,1,40,39,4,0,0,0,0,0,0,5,,9,,1,,0,,1,,3,,4,,False,1,2,2,1,0,0,0,0,0,rally,3_4_early,Zero,0|0,0|0,0|0,5->0,1->0,1,1,1,0,1,1,1,0,0,3,1,1
1024,2,26,1,4,13,1,2,0,39,40,4,1,3,1,0,1,0,13,,8,,3,,0,,2,,2,,4,,False,0,-1,3,-1,1,0,0,0,1,rally,9plus_late,Attack,1|1,1|0,1|1,13->1,3->1,1,1,1,0,1,9,0,3,0,6,1,1
1025,2,26,1,5,4,1,3,1,39,40,4,2,2,1,0,2,0,1,,6,,1,,0,,2,,2,,4,,False,1,-2,4,-1,0,0,0,0,0,rally,3_4_early,Attack,2|1,2|0,2|2,1->2,1->1,1,1,0,0,0,2,1,0,0,4,1,1
1026,2,26,1,6,2,1,4,1,39,40,2,0,0,0,0,0,0,0,,9,,5,,0,,1,,3,,1,,False,1,-3,5,-1,0,0,0,0,0,receive,2_receive,Zero,0|0,0|0,0|0,0->0,5->0,0,1,1,0,1,0,0,0,0,1,2,2
1027,2,26,1,7,9,1,5,0,39,40,4,0,0,0,0,0,0,13,,7,,3,,0,,1,,3,,4,,False,0,-4,6,-1,0,0,0,0,1,rally,9plus_late,Zero,0|0,0|0,0|0,13->0,3->0,1,1,1,0,1,2,3,2,0,4,1,1
1028,2,26,1,8,7,1,6,0,39,40,4,1,2,3,0,13,0,2,,7,,1,,0,,2,,2,,4,,False,0,-5,7,-1,0,0,0,0,1,rally,5_8_mid,Defense,13|3,13|0,1|13,2->13,1->3,1,1,1,0,1,5,0,1,0,4,1,1
1029,2,26,1,9,4,1,7,1,39,40,4,1,3,1,0,2,0,2,,8,,1,,0,,2,,2,,4,,False,1,-6,8,-1,0,0,0,0,0,rally,3_4_early,Attack,2|1,2|0,1|2,2->2,1->1,0,1,0,0,1,3,0,0,0,3,2,2
1030,2,26,1,10,4,1,8,1,39,40,4,1,3,1,0,1,0,10,,5,,2,,0,,1,,2,,4,,False,1,-7,9,-1,0,0,0,0,0,rally,3_4_early,Attack,1|1,1|0,1|1,10->1,2->1,1,1,1,0,0,1,2,0,0,4,1,1
1031,2,26,1,11,11,1,9,0,39,40,4,0,0,0,0,0,0,2,,8,,1,,0,,2,,2,,4,,False,0,-8,10,-1,0,0,0,0,1,rally,9plus_late,Zero,0|0,0|0,0|0,2->0,1->0,1,1,1,0,1,8,1,0,0,4,1,1
1032,2,26,1,12,4,10,1,1,40,39,4,0,0,0,0,0,0,7,,7,,1,,0,,1,,3,,4,,False,1,9,11,1,0,0,1,0,0,rally,3_4_early,Zero,0|0,0|0,0|0,7->0,1->0,1,1,1,0,1,1,1,0,0,3,1,1
1033,2,26,1,13,3,10,2,0,40,39,4,2,3,1,0,5,0,11,,2,,3,,0,,1,,2,,2,,False,0,8,12,1,0,0,1,0,1,rally,3_4_early,Attack,5|1,5|0,2|5,11->5,3->1,1,1,1,0,1,1,1,0,0,3,1,1
1034,2,26,1,14,6,3,10,1,39,40,4,2,2,1,0,13,0,2,,8,,1,,0,,2,,2,,4,,False,1,-7,13,-1,0,0,0,1,0,rally,5_8_mid,Defense,13|1,13|0,2|13,2->13,1->1,1,1,0,0,0,3,0,2,0,4,1,1
1035,2,26,2,1,2,0,0,1,40,39,2,2,2,1,0,4,0,0,,5,,4,,0,,1,,2,,1,,False,1,0,0,0,1,0,0,0,0,receive,2_receive,Attack,4|1,4|0,2|4,0->4,4->1,1,1,1,0,1,1,0,0,0,2,1,1
1036,2,26,2,2,3,1,0,0,39,40,4,2,2,2,0,10,0,10,,2,,2,,0,,2,,2,,2,,False,0,1,1,1,1,0,0,0,1,rally,3_4_early,Control,10|2,10|0,2|10,10->10,2->2,0,1,0,0,0,0,2,0,0,2,2,2
